Date,Open,High,Low,Close,Points_Change,Change_Pct,Volume_Cr,Turnover_Rs_Cr,PE,PB,Div_Yield,Daily_Return
2023-09-25,27381.84,27427.47,27261.74,27373.48,17.36,0.06,21.69,2906.9,24.59,3.48,1.25,0.0006345929174167431
2023-09-26,27402.95,27438.11,27338.49,27374.02,0.54,0.0,27.27,2666.31,24.56,3.47,1.25,1.9727122748003367e-05
2023-09-27,27397.34,27495.51,27284.97,27479.02,105.0,0.38,22.68,2786.99,24.67,3.49,1.24,0.0038357537548376897
2023-09-28,27596.4,27596.4,27179.98,27213.53,-265.49,-0.97,23.31,3005.3,24.49,3.46,1.25,-0.009661552704572474
2023-09-29,27320.35,27509.72,27270.73,27407.75,194.22,0.71,18.63,3334.53,24.69,3.49,1.24,0.007136891097920817
2023-10-03,27423.02,27423.04,27265.79,27341.58,-66.17,-0.24,25.49,2826.77,24.57,3.47,1.25,-0.0024142806323028676
2023-10-04,27294.04,27294.13,26997.77,27138.62,-202.96,-0.74,28.72,3313.15,24.4,3.45,1.26,-0.0074231262421557975
2023-10-05,27295.33,27310.66,27188.33,27251.23,112.61,0.41,28.18,2719.99,24.49,3.46,1.25,0.004149437222673802
2023-10-06,27352.06,27429.67,27316.18,27401.7,150.47,0.55,21.66,2882.11,24.64,3.48,1.25,0.00552158563118077
2023-10-09,27140.49,27266.72,27092.75,27133.98,-267.72,-0.98,23.52,2604.5,24.36,3.44,1.26,-0.00977019673961843
2023-10-10,27188.31,27441.59,27188.31,27414.77,280.79,1.03,20.99,2387.98,24.61,3.48,1.25,0.010348279168776564
2023-10-11,27537.99,27646.17,27527.73,27579.17,164.4,0.6,28.61,4820.98,24.83,3.51,1.24,0.005996767435947792
2023-10-12,27650.94,27665.9,27582.36,27603.17,24.0,0.09,20.37,2687.42,24.82,3.51,1.24,0.0008702219827501079
2023-10-13,27493.65,27631.89,27437.12,27560.74,-42.43,-0.15,19.94,3818.31,24.75,3.5,1.24,-0.0015371422919902011
2023-10-16,27564.19,27618.25,27500.96,27556.58,-4.16,-0.02,20.34,2712.81,24.76,3.49,1.24,-0.0001509393434283579
2023-10-17,27710.51,27720.53,27635.0,27677.66,121.08,0.44,20.86,2813.88,24.88,3.51,1.23,0.004393868905357534
2023-10-18,27719.12,27719.12,27462.31,27478.04,-199.62,-0.72,23.51,2819.91,24.39,3.38,1.24,-0.007212314913905282
2023-10-19,27357.21,27478.97,27259.46,27417.67,-60.37,-0.22,20.54,3373.45,24.33,3.37,1.24,-0.0021970271533195973
2023-10-20,27370.44,27399.73,27240.52,27261.48,-156.19,-0.57,26.96,5051.59,24.25,3.36,1.25,-0.005696691221391159
2023-10-23,27278.6,27285.63,26706.79,26746.23,-515.25,-1.89,24.89,2950.92,23.45,3.27,1.28,-0.018900294481444146
2023-10-25,26792.06,26879.89,26423.45,26550.02,-196.21,-0.73,22.41,2658.61,23.23,3.24,1.28,-0.0073359871652939335
2023-10-26,26433.23,26433.34,26091.16,26221.4,-328.62,-1.24,22.09,3643.98,22.93,3.19,1.3,-0.012377391806107862
2023-10-27,26377.91,26601.85,26353.42,26548.45,327.05,1.25,20.15,3525.97,23.23,3.23,1.29,0.012472636853867458
2023-10-30,26613.81,26664.45,26391.15,26644.35,95.9,0.36,21.32,2413.37,23.03,3.26,1.28,0.0036122636161433075
2023-10-31,26788.2,26791.3,26583.23,26605.19,-39.16,-0.15,24.27,2708.91,22.95,3.25,1.27,-0.001469729980277279
2023-11-01,26627.08,26650.19,26476.67,26494.41,-110.78,-0.42,36.99,2337.92,22.82,3.23,1.28,-0.004163849233927652
2023-11-02,26681.6,26766.93,26639.51,26745.39,250.98,0.95,26.49,2155.24,22.88,3.25,1.28,0.009472941650710442
2023-11-03,26902.74,26962.75,26887.51,26917.85,172.46,0.64,31.3,3745.8,22.94,3.27,1.27,0.0064482140660502285
2023-11-06,27101.87,27182.25,27050.41,27168.96,251.11,0.93,18.84,2614.24,23.29,3.29,1.26,0.00932875396809174
2023-11-07,27212.04,27224.36,27108.99,27210.7,41.74,0.15,22.02,2969.41,23.27,3.29,1.25,0.0015363120266658203
2023-11-08,27315.27,27334.15,27249.84,27315.13,104.43,0.38,26.62,3016.64,23.2,3.3,1.25,0.0038378285012881097
2023-11-09,27369.44,27369.44,27248.79,27262.45,-52.68,-0.19,23.03,2777.06,23.13,3.28,1.26,-0.0019286014747138536
2023-11-10,27251.63,27337.92,27155.71,27307.15,44.7,0.16,19.46,3025.57,23.11,3.28,1.25,0.001639617862664533
2023-11-12,27547.17,27547.17,27457.76,27472.3,165.15,0.6,4.98,689.14,23.22,3.29,1.25,0.006047866584392603
2023-11-13,27451.05,27451.41,27340.81,27397.03,-75.27,-0.27,24.98,2753.17,23.18,3.29,1.25,-0.0027398506859637184
2023-11-15,27614.98,27715.91,27604.62,27696.7,299.67,1.09,25.71,3116.69,23.41,3.32,1.24,0.010938046934284573
2023-11-16,27732.28,27950.88,27668.12,27830.55,133.85,0.48,24.42,3230.15,23.37,3.32,1.23,0.004832705701401263
2023-11-17,27786.41,27918.65,27741.1,27841.96,11.41,0.04,34.01,4008.88,23.44,3.33,1.23,0.0004099811178721602
2023-11-20,27882.45,27897.67,27779.56,27803.07,-38.89,-0.14,25.67,2939.22,23.41,3.32,1.23,-0.0013968125807234388
2023-11-21,27883.55,27938.26,27865.92,27878.73,75.66,0.27,20.86,2620.68,23.47,3.33,1.22,0.002721282218114851
2023-11-22,27880.5,27924.19,27738.68,27880.71,1.98,0.01,21.6,2528.06,23.5,3.33,1.22,7.102188657803765e-05
2023-11-23,27924.02,27985.41,27884.75,27900.93,20.22,0.07,17.47,3139.16,23.5,3.33,1.22,0.0007252326070605886
2023-11-24,27935.15,27972.26,27888.31,27903.66,2.73,0.01,18.7,3610.94,23.51,3.34,1.22,9.784620082564643e-05
2023-11-28,27975.19,28083.77,27937.58,28057.77,154.11,0.55,20.67,3695.56,23.65,3.36,1.21,0.0055229314003970575
2023-11-29,28177.37,28320.31,28177.37,28305.34,247.57,0.88,50.62,7115.32,23.86,3.39,1.2,0.008823580776376794
2023-11-30,28364.34,28467.88,28221.71,28442.43,137.09,0.48,26.66,5525.24,23.96,3.4,1.19,0.004843255724891415
2023-12-01,28553.41,28681.71,28542.41,28639.22,196.79,0.69,22.28,5601.01,24.14,3.43,1.18,0.006918888435341275
2023-12-04,29083.87,29182.92,28960.84,29164.88,525.66,1.84,32.02,9759.41,24.52,3.48,1.17,0.018354550158838023
2023-12-05,29286.41,29405.48,29184.09,29393.89,229.01,0.79,28.35,6472.49,24.71,3.51,1.16,0.007852252435120555
2023-12-06,29518.77,29574.32,29411.7,29540.16,146.27,0.5,26.73,5965.07,24.92,3.54,1.15,0.004976204238363868
2023-12-07,29585.11,29608.05,29448.92,29584.41,44.25,0.15,48.29,9157.7,24.93,3.54,1.15,0.001497960742257387
2023-12-08,29674.33,29711.71,29399.54,29581.0,-3.41,-0.01,118.75,11278.67,24.92,3.54,1.15,-0.00011526341069501012
2023-12-11,29649.85,29702.91,29610.28,29686.17,105.17,0.36,27.64,4576.02,25.04,3.55,1.14,0.00355532267333758
2023-12-12,29758.44,29758.8,29469.13,29547.24,-138.93,-0.47,36.53,4164.42,24.92,3.54,1.15,-0.0046799570304959515
2023-12-13,29613.35,29674.28,29409.52,29646.19,98.95,0.33,28.33,4486.85,24.97,3.54,1.15,0.0033488745480119153
2023-12-14,29872.35,30030.31,29872.35,29999.07,352.88,1.19,39.35,6340.38,25.3,3.59,1.14,0.011903047238110531
2023-12-15,30131.36,30295.6,30072.73,30266.81,267.74,0.89,37.13,6750.94,25.54,3.63,1.13,0.00892494333991034
2023-12-18,30289.67,30355.49,30155.47,30279.67,12.86,0.04,34.55,5725.93,25.45,3.63,1.13,0.0004248878557071567
2023-12-19,30366.07,30385.16,30144.97,30303.95,24.28,0.08,32.07,5705.38,25.41,3.63,1.13,0.0008018581444251272
2023-12-20,30439.34,30518.11,29613.88,29685.12,-618.83,-2.04,46.14,7349.42,24.92,3.56,1.15,-0.02042077022962363
2023-12-21,29411.68,29985.55,29379.79,29949.13,264.01,0.89,35.6,4945.7,25.1,3.58,1.14,0.00889368141344904
2023-12-22,30088.68,30181.01,29932.1,30123.53,174.4,0.58,28.95,6234.45,25.32,3.61,1.14,0.0058232075522728355
2023-12-26,30191.21,30316.55,30141.18,30277.19,153.66,0.51,22.02,3793.53,25.44,3.63,1.13,0.005100995799629082
2023-12-27,30386.13,30529.82,30340.25,30502.3,225.11,0.74,21.59,3946.77,25.57,3.65,1.12,0.0074349700219868975
2023-12-28,30607.74,30692.8,30533.54,30671.72,169.42,0.56,28.3,4401.28,25.75,3.67,1.12,0.005554335246850339
2023-12-29,30695.81,30755.42,30582.26,30720.28,48.56,0.16,56.62,6026.74,25.81,3.68,1.11,0.0015832173741805455
2024-01-01,30769.54,30901.84,30707.9,30785.67,65.39,0.21,46.43,4289.84,25.85,3.69,1.11,0.002128561328217149
2024-01-02,30859.72,30859.8,30475.32,30702.07,-83.6,-0.27,41.56,4778.88,25.75,3.67,1.12,-0.0027155491499778472
2024-01-03,30733.62,30739.77,30592.64,30621.23,-80.84,-0.26,35.52,5472.93,25.69,3.66,1.12,-0.0026330472179888487
2024-01-04,30771.25,30922.83,30733.36,30891.8,270.57,0.88,33.66,4650.67,25.95,3.7,1.11,0.00883602650840598
