Date,Open,High,Low,Close,Daily_Return
2022-08-30,15071.45,15338.8,15065.35,15325.05,0.0235294117647058
2022-09-01,15142.7,15309.85,15141.45,15211.2,-0.0074290132821751564
2022-09-02,15272.45,15305.0,15184.3,15201.6,-0.000631113916061854
2022-09-05,15221.75,15311.95,15217.35,15294.4,0.006104620566256047
2022-09-06,15339.3,15386.75,15248.0,15313.05,0.0012194005649126538
2022-09-07,15222.25,15334.0,15199.4,15319.4,0.00041467898295910466
2022-09-08,15430.2,15448.75,15365.7,15440.7,0.007918064676162295
2022-09-09,15547.55,15548.85,15426.4,15467.4,0.0017291962151975149
2022-09-12,15524.7,15600.15,15522.4,15577.4,0.007111731771338503
2022-09-13,15667.35,15686.85,15635.15,15669.85,0.005934880018488409
2022-09-14,15423.9,15688.1,15423.9,15630.7,-0.0024984285108026194
2022-09-15,15686.0,15724.45,15543.9,15580.35,-0.003221224897157593
2022-09-16,15529.35,15542.0,15197.9,15243.95,-0.02159129929687076
2022-09-19,15264.25,15348.8,15135.15,15293.55,0.0032537498483002913
2022-09-20,15423.5,15557.3,15410.25,15470.35,0.011560429069771283
2022-09-21,15449.25,15516.5,15320.05,15361.25,-0.007052199853267771
2022-09-22,15284.6,15386.75,15224.95,15335.3,-0.0016893156481406768
2022-09-23,15324.3,15360.2,15032.75,15057.65,-0.018105286495862516
2022-09-26,14916.9,14932.5,14671.05,14725.7,-0.022045272668709814
2022-09-27,14805.85,14874.45,14652.3,14727.3,0.00010865357843758972
2022-09-28,14617.4,14768.25,14577.05,14620.6,-0.0072450483116388575
2022-09-29,14748.2,14783.75,14569.1,14602.5,-0.0012379792894956498
2022-09-30,14586.9,14881.3,14516.3,14829.35,0.015535011128231524
2022-10-03,14837.1,14858.65,14585.8,14638.5,-0.012869748168328421
2022-10-04,14869.55,14975.6,14852.55,14965.8,0.022358848242647777
2022-10-06,15063.55,15119.9,15042.2,15053.05,0.0058299589731254375
2022-10-07,15030.2,15055.65,14943.15,15036.7,-0.0010861586190172856
2022-10-10,14857.0,14989.05,14818.5,14951.65,-0.005656161258786874
2022-10-11,14980.45,14982.75,14692.55,14721.9,-0.015366197041798091
2022-10-12,14761.45,14844.85,14676.55,14829.95,0.0073394059190730054
2022-10-13,14811.2,14832.35,14683.55,14730.3,-0.006719510180412058
2022-10-14,14979.15,14989.15,14803.7,14815.1,0.005756841340638141
2022-10-17,14783.2,14920.7,14718.8,14906.15,0.006145756694183602
2022-10-18,15009.1,15071.95,15007.25,15056.55,0.010089795151665637
2022-10-19,15120.4,15153.05,15039.8,15068.6,0.0008003161414800175
2022-10-20,14998.45,15128.4,14979.6,15112.1,0.002886797711798117
2022-10-21,15159.6,15181.9,15036.1,15081.1,-0.0020513363463714462
2022-10-24,15225.45,15248.05,15179.15,15198.75,0.007801155088156708
2022-10-25,15251.75,15253.75,15143.45,15158.1,-0.0026745620528003666
2022-10-27,15246.55,15273.3,15172.15,15244.25,0.005683429981329979
2022-10-28,15265.45,15290.15,15191.6,15241.6,-0.0001738360365383107
