date,close,high,low,open,volume,adj_close,daily_return,return_zscore
2024-01-16,19827.55078125,19923.30078125,19736.19921875,19894.30078125,41454800,19827.55078125,-0.0029166906483016897,-0.3646169105274547
2024-01-17,19487.599609375,19707.69921875,19470.05078125,19556.400390625,41490700,19487.599609375,-0.017145394084501664,-1.9216985284310852
2024-01-18,19414.80078125,19468.650390625,19143.5,19388.400390625,37178000,19414.80078125,-0.0037356488015064526,-0.4542374927474185
2024-01-19,19606.400390625,19618.94921875,19537.150390625,19555.94921875,37538800,19606.400390625,0.009868739398039006,1.0345237906204097
2024-01-23,19206.44921875,19752.349609375,19158.75,19743.5,44759000,19206.44921875,-0.020399010726427913,-2.2777497095920936
2024-01-24,19451.0,19470.650390625,19080.5,19193.150390625,41769400,19451.0,0.012732742969026267,1.3479386659806627
2024-01-25,19393.0,19480.05078125,19289.80078125,19479.650390625,38563500,19393.0,-0.0029818518328106336,-0.37174765740503535
2024-01-29,19711.650390625,19728.900390625,19470.05078125,19475.400390625,41540400,19711.650390625,0.01643120665317377,1.75267054073595
2024-01-30,19574.19921875,19799.25,19558.80078125,19770.25,39664800,19574.19921875,-0.006973093026262922,-0.8085188869700003
2024-01-31,19802.099609375,19813.30078125,19546.400390625,19574.150390625,35992100,19802.099609375,0.011642897268905772,1.2286742007665263
2024-02-01,19777.349609375,19871.25,19703.75,19869.94921875,42128500,19777.349609375,-0.0012498674629574102,-0.18221239603092546
2024-02-02,19910.80078125,20101.150390625,19874.80078125,19884.650390625,49946000,19910.80078125,0.006747677242441963,0.6929783692399274
2024-02-05,19853.5,20044.0,19805.75,19989.650390625,51778800,19853.5,-0.0028778742693241766,-0.3603691397835866
2024-02-06,20033.75,20044.44921875,19824.849609375,19923.19921875,45963000,20033.75,0.009079003702118005,0.9481010929631921
2024-02-07,20109.55078125,20169.900390625,20011.44921875,20157.19921875,58018300,20109.55078125,0.003783654146128468,0.36861811399912225
2024-02-08,19987.55078125,20209.05078125,19949.349609375,20207.55078125,55978000,19987.55078125,-0.006066769035624198,-0.7093376487063465
2024-02-09,19961.5,20040.650390625,19745.44921875,20015.0,54127000,19961.5,-0.0013033503471789887,-0.1880651581091636
2024-02-12,19675.19921875,20015.0,19634.599609375,19999.94921875,40401200,19675.19921875,-0.014342648661172741,-1.6149872811345778
2024-02-13,19782.900390625,19796.05078125,19508.75,19709.80078125,39268800,19782.900390625,0.005473955850590073,0.55359193993693
2024-02-14,19922.30078125,19943.75,19579.19921875,19618.099609375,34524400,19922.30078125,0.007046509251548372,0.7256802826860248
2024-02-15,20037.0,20065.75,19952.0,20011.69921875,35406900,20037.0,0.005757327931618761,0.5846020358585515
2024-02-16,20164.900390625,20191.44921875,20098.099609375,20136.849609375,31059200,20164.900390625,0.006383210591655475,0.653093897346675
2024-02-20,20271.900390625,20285.80078125,20190.69921875,20242.650390625,26832800,20271.900390625,0.005306249866215307,0.5352394662450528
2024-02-21,20128.30078125,20342.30078125,20077.80078125,20329.099609375,31364400,20128.30078125,-0.007083677731635318,-0.8206204401950519
2024-02-22,20283.94921875,20308.900390625,20004.099609375,20179.25,31743900,20283.94921875,0.007732815561112272,0.8007844510780976
2024-02-23,20313.5,20365.650390625,20280.150390625,20358.69921875,39835600,20313.5,0.0014568554146587864,0.11399087058385597
2024-02-26,20255.80078125,20335.75,20210.349609375,20299.5,28150900,20255.80078125,-0.002840437086174208,-0.3562722977930084
2024-02-27,20292.849609375,20329.099609375,20234.94921875,20249.25,28512700,20292.849609375,0.0018290478132709787,0.15472078984888776
2024-02-28,20020.400390625,20335.650390625,19987.349609375,20323.5,38512900,20020.400390625,-0.013425872856423937,-1.5146622754364896
2024-02-29,20090.05078125,20160.05078125,19901.30078125,20009.25,48948700,20090.05078125,0.003478970912970114,0.33527588687621157
2024-03-01,20349.80078125,20360.19921875,20171.0,20171.900390625,28202800,20349.80078125,0.012929285387492495,1.3694467807786346
2024-03-04,20432.05078125,20482.599609375,20383.150390625,20456.75,25412600,20432.05078125,0.004041808609535957,0.3968685847011056
2024-03-05,20382.0,20440.400390625,20328.0,20422.30078125,27107000,20382.0,-0.0024496210285426256,-0.31350434623310003
2024-03-06,20379.55078125,20396.75,20139.349609375,20368.75,35547900,20379.55078125,-0.00012016577126872097,-0.058586392739027875
2024-03-07,20434.80078125,20471.349609375,20384.5,20413.650390625,24346300,20434.80078125,0.0027110509251671022,0.2512405352090476
2024-03-11,20288.75,20483.25,20264.30078125,20478.75,22816800,20288.75,-0.007147159535022651,-0.8275674083126323
2024-03-12,20171.400390625,20326.25,20135.30078125,20299.80078125,24347400,20171.400390625,-0.0057839743392273935,-0.6783907373890564
