Index Name,Date,Open,High,Low,Close
NIFTY 500,19-09-2024,24012.3,24078.0,23702.0,23853.95
NIFTY 500,20-09-2024,23956.55,24243.15,23885.0,24193.8
NIFTY 500,23-09-2024,24294.8,24393.7,24262.3,24379.2
NIFTY 500,24-09-2024,24390.05,24429.0,24353.75,24389.7
NIFTY 500,25-09-2024,24377.25,24394.35,24268.5,24371.25
NIFTY 500,26-09-2024,24399.15,24512.65,24338.4,24496.9
NIFTY 500,27-09-2024,24529.55,24573.4,24469.0,24489.55
NIFTY 500,30-09-2024,24410.0,24456.1,24217.4,24245.2
NIFTY 500,01-10-2024,24248.5,24329.45,24191.05,24271.3
NIFTY 500,03-10-2024,23931.85,24122.0,23713.0,23755.45
NIFTY 500,04-10-2024,23704.95,23920.3,23483.4,23534.95
NIFTY 500,07-10-2024,23616.35,23659.65,23089.5,23181.95
NIFTY 500,08-10-2024,23175.2,23544.8,23106.5,23512.55
NIFTY 500,09-10-2024,23600.1,23797.45,23570.7,23599.6
NIFTY 500,10-10-2024,23695.55,23755.5,23580.6,23598.15
NIFTY 500,11-10-2024,23608.3,23654.0,23546.3,23611.25
NIFTY 500,14-10-2024,23670.5,23740.2,23646.1,23727.05
NIFTY 500,15-10-2024,23800.4,23814.95,23662.3,23735.7
NIFTY 500,16-10-2024,23702.85,23768.15,23588.8,23673.15
NIFTY 500,17-10-2024,23717.3,23720.15,23366.0,23377.0
NIFTY 500,18-10-2024,23285.65,23471.2,23120.95,23440.7
NIFTY 500,21-10-2024,23527.6,23559.05,23224.55,23263.25
NIFTY 500,22-10-2024,23277.1,23306.2,22789.7,22814.45
NIFTY 500,23-10-2024,22751.8,22989.05,22673.3,22841.1
NIFTY 500,24-10-2024,22841.85,22893.2,22747.55,22787.85
NIFTY 500,25-10-2024,22819.8,22839.2,22362.8,22499.05
NIFTY 500,28-10-2024,22548.7,22756.05,22407.0,22649.95
NIFTY 500,29-10-2024,22670.8,22808.8,22450.0,22795.05
NIFTY 500,30-10-2024,22731.15,22896.55,22685.4,22749.8
NIFTY 500,31-10-2024,22758.6,22779.5,22621.1,22689.35
NIFTY 500,01-11-2024,22806.95,22881.5,22799.7,22823.55
NIFTY 500,04-11-2024,22831.8,22832.65,22362.65,22518.3
NIFTY 500,05-11-2024,22458.3,22697.5,22343.95,22679.85
NIFTY 500,06-11-2024,22782.2,23052.2,22720.3,23031.2
NIFTY 500,07-11-2024,23067.15,23073.55,22793.9,22806.25
NIFTY 500,08-11-2024,22821.9,22857.1,22600.25,22645.65
NIFTY 500,11-11-2024,22590.1,22770.55,22478.7,22591.4
NIFTY 500,12-11-2024,22664.2,22721.9,22286.85,22331.05
NIFTY 500,13-11-2024,22263.0,22309.8,21867.7,21914.95
NIFTY 500,14-11-2024,21924.1,22096.85,21907.55,21963.1
NIFTY 500,18-11-2024,22045.9,22049.15,21787.35,21899.4
NIFTY 500,19-11-2024,21977.65,22233.4,21948.45,22004.35
NIFTY 500,21-11-2024,21947.75,21954.2,21692.8,21820.85
NIFTY 500,22-11-2024,21864.65,22260.15,21819.2,22225.55
NIFTY 500,25-11-2024,22578.65,22676.25,22510.8,22553.5
NIFTY 500,26-11-2024,22649.3,22675.7,22523.0,22562.45
NIFTY 500,27-11-2024,22594.2,22732.1,22526.1,22691.7
NIFTY 500,28-11-2024,22722.3,22821.75,22472.25,22514.35
NIFTY 500,29-11-2024,22537.8,22733.75,22531.9,22687.0
NIFTY 500,02-12-2024,22695.4,22843.5,22603.1,22835.85
NIFTY 500,03-12-2024,22922.6,23029.55,22876.8,23020.85
NIFTY 500,04-12-2024,23075.95,23149.9,22978.85,23099.5
NIFTY 500,05-12-2024,23183.3,23357.1,22993.85,23277.95
NIFTY 500,06-12-2024,23315.8,23358.2,23221.7,23312.1
NIFTY 500,09-12-2024,23289.4,23351.9,23243.3,23292.0
NIFTY 500,10-12-2024,23328.8,23341.35,23216.25,23314.9
NIFTY 500,11-12-2024,23326.7,23394.2,23301.15,23358.15
NIFTY 500,12-12-2024,23348.7,23386.25,23242.75,23256.4
NIFTY 500,13-12-2024,23208.35,23378.55,22879.9,23358.95
NIFTY 500,16-12-2024,23370.55,23417.65,23281.2,23352.45
NIFTY 500,17-12-2024,23308.9,23349.1,23067.3,23095.75
NIFTY 500,18-12-2024,23076.95,23125.55,22876.7,22934.4
NIFTY 500,19-12-2024,22594.95,22782.25,22590.0,22752.15
NIFTY 500,20-12-2024,22783.65,22855.0,22279.9,22319.4
NIFTY 500,23-12-2024,22446.6,22535.2,22331.5,22412.3
NIFTY 500,24-12-2024,22431.6,22516.3,22340.1,22402.7
NIFTY 500,26-12-2024,22444.7,22492.3,22324.6,22430.35
NIFTY 500,27-12-2024,22473.9,22555.45,22435.55,22445.2
NIFTY 500,30-12-2024,22438.15,22522.4,22266.15,22357.15
NIFTY 500,31-12-2024,22273.7,22414.45,22160.15,22375.4
NIFTY 500,01-01-2025,22375.85,22518.7,22313.75,22481.8
NIFTY 500,02-01-2025,22521.75,22833.35,22482.7,22819.75
NIFTY 500,03-01-2025,22850.1,22867.85,22681.3,22708.15
NIFTY 500,06-01-2025,22753.65,22757.4,22163.55,22225.4
NIFTY 500,07-01-2025,22278.15,22435.5,22247.75,22341.65
NIFTY 500,08-01-2025,22378.15,22384.25,22065.2,22231.8
NIFTY 500,09-01-2025,22231.05,22239.2,22028.5,22046.55
NIFTY 500,10-01-2025,22049.4,22075.4,21738.45,21799.0
NIFTY 500,13-01-2025,21557.0,21630.55,21194.45,21243.45
NIFTY 500,14-01-2025,21328.0,21528.7,21325.0,21481.05
NIFTY 500,15-01-2025,21572.45,21634.6,21445.4,21551.2
NIFTY 500,16-01-2025,21734.4,21776.35,21687.45,21714.55
NIFTY 500,17-01-2025,21699.45,21730.85,21563.8,21680.25
NIFTY 500,20-01-2025,21769.95,21848.95,21628.5,21809.0
NIFTY 500,21-01-2025,21855.1,21863.05,21411.3,21433.2
NIFTY 500,22-01-2025,21484.45,21500.3,21178.8,21396.55
NIFTY 500,23-01-2025,21377.8,21595.0,21338.95,21538.05
NIFTY 500,24-01-2025,21533.05,21611.2,21279.0,21318.9
NIFTY 500,27-01-2025,21158.85,21163.0,20861.15,20910.95
NIFTY 500,28-01-2025,21009.2,21100.45,20757.9,20924.75
NIFTY 500,29-01-2025,20971.4,21259.85,20968.35,21245.5
NIFTY 500,30-01-2025,21282.1,21404.2,21209.6,21297.5
NIFTY 500,31-01-2025,21339.35,21613.0,21310.3,21580.9
NIFTY 500,01-02-2025,21628.65,21713.95,21388.2,21581.75
NIFTY 500,03-02-2025,21422.85,21445.95,21286.7,21402.55
NIFTY 500,04-02-2025,21551.4,21743.55,21474.45,21727.45
NIFTY 500,05-02-2025,21797.7,21870.4,21763.7,21784.25
NIFTY 500,06-02-2025,21860.1,21870.9,21620.15,21672.45
NIFTY 500,07-02-2025,21703.75,21765.15,21521.75,21646.15
NIFTY 500,10-02-2025,21636.2,21659.25,21301.85,21371.3
NIFTY 500,11-02-2025,21366.25,21376.45,20860.6,20950.45
NIFTY 500,12-02-2025,20924.15,21002.0,20545.75,20907.85
NIFTY 500,13-02-2025,20926.0,21122.0,20866.5,20904.35
NIFTY 500,14-02-2025,20964.6,20984.7,20476.65,20633.1
NIFTY 500,17-02-2025,20511.05,20667.55,20339.0,20652.35
NIFTY 500,18-02-2025,20663.6,20692.3,20466.75,20611.4
NIFTY 500,19-02-2025,20511.2,20802.55,20459.2,20731.45
NIFTY 500,20-02-2025,20645.7,20840.35,20630.2,20831.1
NIFTY 500,21-02-2025,20792.05,20903.35,20616.6,20690.25
NIFTY 500,24-02-2025,20510.95,20546.05,20429.3,20468.45
NIFTY 500,25-02-2025,20445.55,20548.9,20388.75,20418.75
NIFTY 500,27-02-2025,20436.5,20471.85,20278.65,20315.55
NIFTY 500,28-02-2025,20185.4,20197.85,19816.0,19880.9
NIFTY 500,03-03-2025,19935.55,19997.05,19658.3,19896.95
NIFTY 500,04-03-2025,19736.05,19957.5,19681.65,19917.85
NIFTY 500,05-03-2025,19901.6,20265.05,19901.6,20256.5
NIFTY 500,06-03-2025,20411.45,20467.15,20262.75,20447.1
NIFTY 500,07-03-2025,20428.15,20549.2,20377.6,20443.4
NIFTY 500,10-03-2025,20434.95,20543.7,20230.65,20266.5
NIFTY 500,11-03-2025,20122.55,20333.75,20073.4,20302.5
NIFTY 500,12-03-2025,20351.9,20397.95,20108.7,20264.35
