date,close,high,low,open,volume,adj_close
2024-01-15,19885.55078125,19896.900390625,19763.80078125,19876.5,35121900,19885.55078125
2024-01-16,19827.55078125,19923.30078125,19736.19921875,19894.30078125,41454800,19827.55078125
2024-01-17,19487.599609375,19707.69921875,19470.05078125,19556.400390625,41490700,19487.599609375
2024-01-18,19414.80078125,19468.650390625,19143.5,19388.400390625,37178000,19414.80078125
2024-01-19,19606.400390625,19618.94921875,19537.150390625,19555.94921875,37538800,19606.400390625
2024-01-23,19206.44921875,19752.349609375,19158.75,19743.5,44759000,19206.44921875
2024-01-24,19451.0,19470.650390625,19080.5,19193.150390625,41769400,19451.0
2024-01-25,19393.0,19480.05078125,19289.80078125,19479.650390625,38563500,19393.0
2024-01-29,19711.650390625,19728.900390625,19470.05078125,19475.400390625,41540400,19711.650390625
2024-01-30,19574.19921875,19799.25,19558.80078125,19770.25,39664800,19574.19921875
2024-01-31,19802.099609375,19813.30078125,19546.400390625,19574.150390625,35992100,19802.099609375
2024-02-01,19777.349609375,19871.25,19703.75,19869.94921875,42128500,19777.349609375
2024-02-02,19910.80078125,20101.150390625,19874.80078125,19884.650390625,49946000,19910.80078125
2024-02-05,19853.5,20044.0,19805.75,19989.650390625,51778800,19853.5
2024-02-06,20033.75,20044.44921875,19824.849609375,19923.19921875,45963000,20033.75
2024-02-07,20109.55078125,20169.900390625,20011.44921875,20157.19921875,58018300,20109.55078125
2024-02-08,19987.55078125,20209.05078125,19949.349609375,20207.55078125,55978000,19987.55078125
2024-02-09,19961.5,20040.650390625,19745.44921875,20015.0,54127000,19961.5
2024-02-12,19675.19921875,20015.0,19634.599609375,19999.94921875,40401200,19675.19921875
2024-02-13,19782.900390625,19796.05078125,19508.75,19709.80078125,39268800,19782.900390625
2024-02-14,19922.30078125,19943.75,19579.19921875,19618.099609375,34524400,19922.30078125
2024-02-15,20037.0,20065.75,19952.0,20011.69921875,35406900,20037.0
2024-02-16,20164.900390625,20191.44921875,20098.099609375,20136.849609375,31059200,20164.900390625
2024-02-20,20271.900390625,20285.80078125,20190.69921875,20242.650390625,26832800,20271.900390625
2024-02-21,20128.30078125,20342.30078125,20077.80078125,20329.099609375,31364400,20128.30078125
2024-02-22,20283.94921875,20308.900390625,20004.099609375,20179.25,31743900,20283.94921875
2024-02-23,20313.5,20365.650390625,20280.150390625,20358.69921875,39835600,20313.5
2024-02-26,20255.80078125,20335.75,20210.349609375,20299.5,28150900,20255.80078125
2024-02-27,20292.849609375,20329.099609375,20234.94921875,20249.25,28512700,20292.849609375
2024-02-28,20020.400390625,20335.650390625,19987.349609375,20323.5,38512900,20020.400390625
2024-02-29,20090.05078125,20160.05078125,19901.30078125,20009.25,48948700,20090.05078125
2024-03-01,20349.80078125,20360.19921875,20171.0,20171.900390625,28202800,20349.80078125
2024-03-04,20432.05078125,20482.599609375,20383.150390625,20456.75,25412600,20432.05078125
2024-03-05,20382.0,20440.400390625,20328.0,20422.30078125,27107000,20382.0
2024-03-06,20379.55078125,20396.75,20139.349609375,20368.75,35547900,20379.55078125
2024-03-07,20434.80078125,20471.349609375,20384.5,20413.650390625,24346300,20434.80078125
2024-03-11,20288.75,20483.25,20264.30078125,20478.75,22816800,20288.75
2024-03-12,20171.400390625,20326.25,20135.30078125,20299.80078125,24347400,20171.400390625
2024-03-13,19646.30078125,20247.900390625,19549.5,20236.80078125,41486300,19646.30078125
2024-03-14,19916.349609375,19933.900390625,19514.69921875,19598.400390625,38249400,19916.349609375
2024-03-15,19825.19921875,19942.400390625,19671.150390625,19867.75,41574600,19825.19921875
2024-03-18,19843.099609375,19894.44921875,19709.19921875,19804.30078125,22428300,19843.099609375
2024-03-19,19610.55078125,19798.94921875,19594.099609375,19785.80078125,21287100,19610.55078125
2024-03-20,19632.05078125,19697.44921875,19465.849609375,19651.69921875,21521000,19632.05078125
2024-03-21,19897.400390625,19916.44921875,19790.849609375,19790.849609375,22056500,19897.400390625
2024-03-22,19994.599609375,20048.599609375,19806.69921875,19855.0,26015800,19994.599609375
2024-03-26,20005.25,20044.5,19895.30078125,19895.55078125,23428500,20005.25
2024-03-27,20087.80078125,20174.400390625,20063.0,20063.0,28219300,20087.80078125
2024-03-28,20255.150390625,20380.5,20146.150390625,20150.349609375,26471400,20255.150390625
